"Annot_Gene"	"Annot_Christoforou_UniprotGO_overlap3"	"HPA.main.location"	"HPA.Other.loc"	"HPA.Reliability"	"Gene.ontology.cellular.component"	"Uniprot.Subcellular.location"	"overlap"	"clusters"	"assigned_location_Christoforou_UniprotGO_overlap3"	"precision_assigned_location_Christoforou_UniprotGO_overlap3"	"data_Gene"	"data_non_NUM_space"	"data_Christoforou_126"	"data_Christoforou_127N"	"data_Christoforou_127C"	"data_Christoforou_128N"	"data_Christoforou_128C"	"data_Christoforou_129N"	"data_Christoforou_129C"	"data_Christoforou_130N"	"data_Christoforou_131"	"data_Christoforou_130C"	"data_non_NUM_space.1"	"data_Rodriguez_Pineiro_1"	"data_Rodriguez_Pineiro_2"	"data_Rodriguez_Pineiro_3"	"data_Rodriguez_Pineiro_4"	"data_Rodriguez_Pineiro_5"	"data_Rodriguez_Pineiro_6"	"data_Rodriguez_Pineiro_7"	"data_Rodriguez_Pineiro_8"	"data_Rodriguez_Pineiro_9"	"data_Rodriguez_Pineiro_10"	"data_Rodriguez_Pineiro_11"	"data_X"	"data_Cyt.Andreyev"	"data_Nucl.Andreyev"	"data_Microsomes.Andreyev"	"data_PM.Andreyev"	"data_ER.Andreyev"	"data_Mito.Andreyev"	"data_X.1"	"data_Cyt.Carvalho"	"data_Nucl.Carvalho"	"data_Mit.Carvalho"	"data_X.2"	"data_Cyt.Boisvert"	"data_Nucl.Boisvert"	"data_Nucleolus.Boisvert"	"data_X.3"	"data_Cyt.Pinto"	"data_Nucl.Pinto"	"data_Tot.Pinto"	"data_X.4"	"data_Cyt.Choi"	"data_Nucl.Choi"	"data_Pellet.Choi"	"data_Nucl.soluble.Choi"	"data_X.5"	"data_Cyt.Mulvey"	"data_Nucl.Mulvey"	"data_Total.Mulvey"	"data_X.6"	"data_cyt.Bileck"	"data_Nucl.Bileck"	"data_X.7"	"data_Cyt.Thakar"	"data_Nucl.Thakar"	"data_TOT.Thakar"	"data_X.8"	"data_Cyt.Larance"	"data_Nucleus.Larance"	"data_Cytoskeleton.Larance"	"data_Membrane.Larance"
"PPA1"	"CYTOSOL"	"Vesicles"	NA	"Uncertain"	"cytoplasm; cytosol; extracellular vesicular exosome"	" Cytoplasm "	"overlaps 10"	69	"CYTOSOL"	1	"PPA1"	"-"	110	24	26	10	14	8	1	1	1	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	128	8	64	1	1	1	NA	66	34	1	NA	93	6	1	NA	86	5	9	NA	100	1	1	1	NA	45	5	50	NA	100	1	NA	73	1	26	NA	88	1	1	12
"PRDX6"	"CYTOSOL"	"Plasma membrane;Cytoplasm"	"Nucleus but not nucleoli"	"Supportive"	"cytoplasm; cytoplasmic vesicle; cytosol; extracellular space; extracellular vesicular exosome; lysosome; membrane"	" Cytoplasm {ECO:0000269|PubMed:16186110 ECO:0000269|PubMed:19188445} Lysosome {ECO:0000250} Cytoplasmic vesicle {ECO:0000250} Note=Also found in lung secretory organelles {ECO:0000250}"	"overlaps 11"	69	"CYTOSOL"	1	"PRDX6"	"-"	110	22	26	12	16	6	1	1	1	1	"-"	104	34	1	1	18	22	4	6	1	4	6	NA	134	48	12	6	1	1	NA	65	35	1	NA	91	8	1	NA	40	14	46	NA	100	1	1	1	NA	36	7	58	NA	98	2	NA	83	1	16	NA	85	1	1	15
"S100A11"	"CYTOSOL"	NA	NA	NA	"cytoplasm; extracellular space; extracellular vesicular exosome; nucleus; ruffle"	" Cytoplasm {ECO:0000269|PubMed:18618420} Nucleus {ECO:0000269|PubMed:18618420}"	"overlaps 11"	69	"CYTOSOL"	1	"S100A11"	"-"	108	24	26	12	12	10	4	1	1	1	"-"	106	58	30	1	6	1	1	1	1	1	1	NA	38	50	8	66	40	1	NA	73	27	1	NA	88	11	1	NA	96	1	3	NA	39	61	1	1	NA	19	75	6	NA	99	1	NA	80	10	9	NA	84	1	1	15
"VBP1"	"CYTOSOL"	"Cytoplasm"	"Vesicles"	"Supportive"	"cytoplasm; intracellular membrane-bounded organelle; nucleus; prefoldin complex"	" Cytoplasm Nucleus Note=In complex with VHL can translocate to the nucleus"	"overlaps 8"	69	"CYTOSOL"	1	"VBP1"	"-"	108	24	24	10	14	8	4	1	4	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	96	1	4	NA	91	6	3	NA	85	5	10	NA	1	1	1	1	NA	27	7	66	NA	96	4	NA	77	1	23	NA	91	1	1	9
"AHSA1"	"CYTOSOL"	"Cytoplasm"	NA	"Supportive"	"cytoplasm; endoplasmic reticulum; extracellular vesicular exosome"	" Cytoplasm cytosol {ECO:0000269|PubMed:11554768} Endoplasmic reticulum {ECO:0000269|PubMed:11554768} Note=May transiently interact with the endoplasmic reticulum"	"overlaps 11"	312	"CYTOSOL"	1	"AHSA1"	"-"	104	26	22	10	12	8	4	6	6	1	"-"	90	1	1	18	28	36	28	1	1	1	1	NA	144	18	30	1	4	4	NA	63	36	1	NA	87	12	1	NA	8	4	88	NA	100	1	1	1	NA	30	2	68	NA	100	1	NA	75	1	24	NA	86	1	1	14
"CMPK1"	"CYTOSOL"	NA	NA	NA	"cytoplasm; cytosol; extracellular vesicular exosome; nucleolus; nucleus"	" Nucleus Cytoplasm Note=Predominantly nuclear"	"overlaps 9"	312	"CYTOSOL"	1	"CMPK1"	"-"	106	24	24	10	10	8	6	6	6	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	87	13	1	NA	94	4	1	NA	34	6	60	NA	100	1	1	1	NA	35	6	60	NA	99	1	NA	75	1	24	NA	91	1	1	9
"DHFR"	"CYTOSOL"	NA	NA	NA	"cytosol; nucleoplasm"	NA	"overlaps 6"	312	"CYTOSOL"	1	"DHFR"	"-"	104	26	22	10	12	8	4	6	4	4	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	100	1	1	NA	1	1	1	NA	6	1	94	NA	1	1	1	1	NA	96	4	1	NA	1	1	NA	72	1	28	NA	85	1	5	9
"ENO1"	"CYTOSOL"	"Nucleus;Plasma membrane;Cytoplasm"	NA	"Supportive"	"cytoplasm; cytosol; extracellular space; extracellular vesicular exosome; membrane; nucleus; phosphopyruvate hydratase complex; plasma membrane"	" Cytoplasm {ECO:0000269|PubMed:10802057} Cell membrane {ECO:0000269|PubMed:10802057} Cytoplasm myofibril sarcomere M line {ECO:0000269|PubMed:10802057} Note=Can translocate to the plasma membrane in either the homodimeric (alpha/alpha) or heterodimeric (alpha/gamma) form ENO1 is localized to the M line;  Isoform MBP-1: Nucleus"	"overlaps 10"	312	"CYTOSOL"	1	"ENO1"	"-"	104	24	24	12	14	8	4	4	4	1	"-"	72	62	22	8	4	12	4	6	4	1	1	NA	1	1	1	1	1	1	NA	73	27	1	NA	89	9	1	NA	91	4	5	NA	73	9	11	6	NA	46	12	42	NA	98	2	NA	71	1	28	NA	84	1	2	13
"GALK1"	"CYTOSOL"	"Cytoplasm"	"Nucleus;Golgi apparatus"	"Uncertain"	"cytoplasm; cytosol; extracellular vesicular exosome; membrane"	NA	"overlaps 10"	312	"CYTOSOL"	1	"GALK1"	"-"	104	26	24	10	12	8	4	4	4	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	158	28	14	1	1	1	NA	65	26	9	NA	80	18	1	NA	26	4	70	NA	100	1	1	1	NA	44	12	44	NA	100	1	NA	86	1	14	NA	96	1	1	4
"HSPH1"	"CYTOSOL"	"Nucleus but not nucleoli;Cytoplasm"	NA	"Supportive"	"cytoplasm; cytosol; endocytic vesicle lumen; extracellular region; extracellular vesicular exosome; microtubule; nucleus"	" Cytoplasm "	"overlaps 10"	312	"CYTOSOL"	1	"HSPH1"	"-"	106	26	24	10	12	8	4	4	4	4	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	134	22	38	4	1	1	NA	62	38	1	NA	79	20	1	NA	50	5	45	NA	100	1	1	1	NA	37	20	43	NA	99	1	NA	78	1	21	NA	86	1	1	14
"IDH1"	"CYTOSOL"	"Nucleus;Cytoplasm"	NA	"Uncertain"	"cytoplasm; cytosol; extracellular vesicular exosome; mitochondrion; peroxisomal matrix; peroxisome"	" Cytoplasm "	"overlaps 11"	312	"CYTOSOL"	1	"IDH1"	"-"	102	26	24	12	12	8	4	4	4	1	"-"	82	66	12	1	1	8	4	6	6	4	12	NA	150	20	14	4	8	4	NA	77	22	1	NA	68	31	1	NA	36	13	51	NA	100	1	1	1	NA	23	5	72	NA	100	1	NA	75	1	25	NA	86	1	1	14
"MIEN1"	"CYTOSOL"	"Nucleus but not nucleoli"	NA	"Supportive"	"cytosol; extracellular vesicular exosome; intrinsic component of the cytoplasmic side of the plasma membrane"	" Cytoplasm cytosol Cell membrane; Lipid-anchor; Cytoplasmic side Note=Concentrates at the leading edge of migrating cells Localizes outside membrane raft regions"	"overlaps 4"	312	"CYTOSOL"	1	"MIEN1"	"-"	106	24	24	10	14	8	4	6	1	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	1	NA	100	1	1	NA	1	1	NA	97	1	3	NA	87	1	1	13
"PARK7"	"CYTOSOL"	"Nucleus;Cytoplasm"	NA	"Supportive"	"chromatin; cytoplasm; cytosol; extracellular vesicular exosome; mitochondrion; nucleus; plasma membrane; PML body"	" Cell membrane; Lipid-anchor Cytoplasm Nucleus Membrane raft Mitochondrion Note=Under normal conditions located predominantly in the cytoplasm and to a lesser extent in the nucleus and mitochondrion Translocates to the mitochondrion and subsequently to the nucleus in response to oxidative stress and exerts an increased cytoprotective effect against oxidative damage Detected in tau inclusions in brains from neurodegenerative disease patients Membrane raft localization in astrocytes and neuronal cells requires palmitoylation"	"overlaps 11"	312	"CYTOSOL"	1	"PARK7"	"-"	102	26	26	10	12	6	4	6	6	1	"-"	152	1	1	1	1	1	1	1	20	1	28	NA	138	14	16	10	12	10	NA	86	13	1	NA	88	10	1	NA	43	17	40	NA	100	1	1	1	NA	51	6	44	NA	99	1	NA	76	1	24	NA	84	1	1	15
"PMM1"	"CYTOSOL"	"Nucleus"	"Vesicles"	"Uncertain"	"cytosol; neuronal cell body"	" Cytoplasm"	"overlaps 4"	312	"CYTOSOL"	1	"PMM1"	"-"	104	28	24	8	14	6	4	6	6	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	1	NA	42	6	52	NA	1	1	NA	100	1	1	NA	99	1	1	1
"PPID"	"CYTOSOL"	"Nucleoli;Cytoplasm"	"Nucleus"	"Supportive"	"cytoplasm; nucleolus; nucleus"	" Cytoplasm Nucleus nucleolus Nucleus nucleoplasm"	"overlaps 10"	312	"CYTOSOL"	1	"PPID"	"-"	102	26	22	10	14	8	4	6	6	4	"-"	100	100	1	1	1	1	1	1	1	1	1	NA	144	26	22	6	4	1	NA	82	18	1	NA	79	15	6	NA	89	6	4	NA	1	1	1	1	NA	50	1	48	NA	96	4	NA	67	1	33	NA	75	1	1	25
"PTGES3"	"CYTOSOL"	"Nucleus but not nucleoli;Cytoplasm"	NA	"Supportive"	"chromosome, telomeric region; cytoplasm; cytosol; extracellular vesicular exosome; nucleus; telomerase holoenzyme complex"	" Cytoplasm"	"overlaps 10"	312	"CYTOSOL"	1	"PTGES3"	"-"	102	26	26	8	12	10	4	1	4	4	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	138	44	10	1	6	1	NA	60	40	1	NA	90	9	1	NA	47	7	46	NA	63	21	16	1	NA	32	22	46	NA	88	12	NA	85	1	15	NA	74	1	8	18
"SPR"	"CYTOSOL"	"Nucleus but not nucleoli;Cytoplasm"	NA	"Supportive"	"cytoplasm; cytosol; extracellular vesicular exosome; mitochondrion; nucleus"	" Cytoplasm"	"overlaps 11"	312	"CYTOSOL"	1	"SPR"	"-"	106	22	24	10	10	8	4	8	6	1	"-"	4	8	186	1	1	1	1	1	1	1	1	NA	164	24	12	1	1	1	NA	50	48	2	NA	82	13	5	NA	42	1	57	NA	100	1	1	1	NA	9	1	91	NA	100	1	NA	91	1	9	NA	72	1	1	28
"SUGT1"	"CYTOSOL"	NA	NA	NA	"cytoplasm; cytosol; kinetochore; nucleus; ubiquitin ligase complex"	" Cytoplasm {ECO:0000269|PubMed:21864708} Nucleus {ECO:0000269|PubMed:21864708} Note=Translocates to the nucleus upon heat shock requiring S100A6"	"overlaps 11"	312	"CYTOSOL"	1	"SUGT1"	"-"	104	26	20	10	12	10	6	4	4	4	"-"	126	1	46	1	1	1	1	28	1	1	1	NA	160	20	20	1	1	1	NA	88	11	1	NA	77	22	1	NA	1	1	100	NA	100	1	1	1	NA	23	9	68	NA	98	2	NA	75	1	24	NA	82	1	1	18
"GCLM"	"CYTOSOL"	"Nucleus;Plasma membrane;Cytoplasm"	NA	"Supportive"	"cytosol; glutamate-cysteine ligase complex"	NA	"overlaps 8"	322	"CYTOSOL"	1	"GCLM"	"-"	110	22	22	10	12	6	1	6	6	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	100	1	1	NA	88	7	4	NA	1	1	1	NA	100	1	1	1	NA	42	27	32	NA	100	1	NA	75	1	25	NA	99	1	1	1
"HUWE1"	"CYTOSOL"	"Nucleus;Cytoplasm"	NA	"Supportive"	"cytoplasm; extracellular vesicular exosome; membrane; nucleus"	" Cytoplasm {ECO:0000269|PubMed:19713937} Nucleus {ECO:0000269|PubMed:19713937} Note=Mainly expressed in the cytoplasm of most tissues except in the nucleus of spermatogonia primary spermatocytes and neuronal cells (By similarity) Predominantly cytosolic or perinuclear in some colorectal carcinoma cells {ECO:0000250}"	"overlaps 11"	322	"CYTOSOL"	1	"HUWE1"	"-"	114	18	20	8	10	10	4	4	6	1	"-"	178	1	1	1	1	1	1	22	1	1	1	NA	54	36	26	82	1	1	NA	75	23	2	NA	1	21	78	NA	4	1	96	NA	76	24	1	1	NA	12	1	88	NA	99	1	NA	89	1	11	NA	90	1	1	9
"NAP1L4"	"CYTOSOL"	"Nucleus but not nucleoli"	NA	"Supportive"	"cytoplasm; nucleus"	" Nucleus"	"overlaps 9"	322	"CYTOSOL"	1	"NAP1L4"	"-"	112	24	22	8	10	8	4	4	4	1	"-"	126	74	1	1	1	1	1	1	1	1	1	NA	130	66	1	1	1	1	NA	76	24	1	NA	89	9	1	NA	1	1	1	NA	83	17	1	1	NA	32	19	48	NA	95	5	NA	82	2	17	NA	1	1	1	1
"NARS"	"CYTOSOL"	"Cytoplasm"	NA	"Supportive"	"cytoplasm; cytosol; extracellular vesicular exosome; mitochondrion"	" Cytoplasm"	"overlaps 11"	322	"CYTOSOL"	1	"NARS"	"-"	112	22	22	10	12	6	4	4	4	4	"-"	18	66	112	1	1	1	1	1	1	1	1	NA	144	16	36	1	1	1	NA	63	37	1	NA	94	5	1	NA	65	4	31	NA	52	15	33	1	NA	71	10	19	NA	100	1	NA	89	1	10	NA	92	1	1	6
"OTUB1"	"CYTOSOL"	"Nucleus;Cytoplasm"	NA	"Uncertain"	"cytoplasm; extracellular vesicular exosome"	" Cytoplasm "	"overlaps 9"	322	"CYTOSOL"	1	"OTUB1"	"-"	112	20	24	12	14	8	4	4	4	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	63	37	1	NA	87	6	7	NA	27	5	68	NA	100	1	1	1	NA	32	7	60	NA	100	1	NA	100	1	1	NA	85	1	1	15
"PAFAH1B2"	"CYTOSOL"	"Cytoplasm"	"Nucleoli;Plasma membrane"	"Supportive"	"cytoplasm; cytosol; extracellular vesicular exosome; nucleolus; plasma membrane"	" Cytoplasm"	"overlaps 11"	322	"CYTOSOL"	1	"PAFAH1B2"	"-"	112	20	20	12	16	8	1	6	4	1	"-"	1	1	1	1	1	1	1	200	1	1	1	NA	124	66	10	1	1	1	NA	72	28	1	NA	85	13	1	NA	87	4	9	NA	100	1	1	1	NA	45	6	49	NA	99	1	NA	92	1	7	NA	84	1	1	16
"SARS"	"CYTOSOL"	"Cytoplasm"	NA	"Supportive"	"cytoplasm; cytosol; extracellular vesicular exosome; mitochondrion"	" Cytoplasm"	"overlaps 11"	322	"CYTOSOL"	1	"SARS"	"-"	114	22	20	10	14	8	1	4	4	1	"-"	1	1	1	1	1	8	20	62	54	38	18	NA	160	16	16	8	1	1	NA	68	32	1	NA	89	9	1	NA	61	17	22	NA	100	1	1	1	NA	53	12	35	NA	97	3	NA	92	1	7	NA	81	1	1	19
"TSTA3"	"CYTOSOL"	"Cytoplasm"	"Nucleus but not nucleoli"	"Uncertain"	"cytoplasm; extracellular vesicular exosome"	NA	"overlaps 10"	322	"CYTOSOL"	1	"TSTA3"	"-"	112	20	24	10	12	10	4	4	1	1	"-"	200	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	67	32	1	NA	55	37	8	NA	30	7	63	NA	100	1	1	1	NA	53	1	47	NA	100	1	NA	75	1	25	NA	85	1	1	15
"TXN"	"CYTOSOL"	"Nucleus;Cytoplasm"	NA	"Supportive"	"cytoplasm; cytosol; extracellular vesicular exosome; mitochondrion; nucleoplasm; nucleus"	" Nucleus Cytoplasm Secreted Note=Secreted by a leaderless secretory pathway Predominantly in the cytoplasm in non irradiated cells Radiation induces translocation of TRX from the cytoplasm to the nucleus"	"overlaps 11"	322	"CYTOSOL"	1	"TXN"	"-"	112	22	22	10	14	8	4	4	4	1	"-"	1	1	1	4	32	44	36	24	22	12	26	NA	150	22	8	12	4	4	NA	75	23	1	NA	83	15	1	NA	83	8	9	NA	100	1	1	1	NA	45	18	37	NA	95	5	NA	75	2	23	NA	87	1	1	12
"UBE2K"	"CYTOSOL"	NA	NA	NA	"cytoplasm; extracellular vesicular exosome"	" Cytoplasm "	"overlaps 11"	322	"CYTOSOL"	1	"UBE2K"	"-"	114	22	22	8	12	8	1	4	6	1	"-"	182	1	1	18	1	1	1	1	1	1	1	NA	150	16	24	12	1	1	NA	67	33	1	NA	90	9	1	NA	42	6	52	NA	100	1	1	1	NA	39	7	54	NA	100	1	NA	77	1	23	NA	82	1	1	17
"UCHL1"	"CYTOSOL"	"Nucleus but not nucleoli;Cytoplasm"	NA	"Supportive"	"axon; cytoplasm; cytosol; endoplasmic reticulum; extracellular vesicular exosome; membrane; neuronal cell body; nucleus"	" Cytoplasm {ECO:0000269|PubMed:19261853} Endoplasmic reticulum membrane {ECO:0000269|PubMed:19261853}; Lipid-anchor {ECO:0000269|PubMed:19261853} Note=About 30% of total UCHL1 is associated with membranes in brain"	"overlaps 3"	322	"CYTOSOL"	1	"UCHL1"	"-"	112	20	22	10	14	8	4	4	4	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	NA	90	1	10	1	NA	57	4	38	NA	1	1	NA	1	1	1	NA	1	1	1	1
