"Annot_Gene"	"Annot_Christoforou_UniprotGO_overlap3"	"HPA.main.location"	"HPA.Other.loc"	"HPA.Reliability"	"Gene.ontology.cellular.component"	"Uniprot.Subcellular.location"	"overlap"	"clusters"	"assigned_location_Christoforou_UniprotGO_overlap3"	"precision_assigned_location_Christoforou_UniprotGO_overlap3"	"data_Gene"	"data_non_NUM_space"	"data_Christoforou_126"	"data_Christoforou_127N"	"data_Christoforou_127C"	"data_Christoforou_128N"	"data_Christoforou_128C"	"data_Christoforou_129N"	"data_Christoforou_129C"	"data_Christoforou_130N"	"data_Christoforou_131"	"data_Christoforou_130C"	"data_non_NUM_space.1"	"data_Bileck.cyt"	"data_Bileck.Nucl"	"data_non_NUM_space.x"	"data_Cyt.Thakar"	"data_Nucl.Thakar"	"data_TOT.Thakar"	"data_non_NUM_space.y"	"data_Cyt.Carvalho"	"data_Nucl.Carvalho"	"data_Mit.Carvalho"
"SPAG9"	""	"Cytoplasm;Microtubule organizing center"	NA	"Supportive"	"cytoplasm; cytoplasmic vesicle; cytosol; extracellular vesicular exosome; integral component of membrane; perinuclear region of cytoplasm"	" Cytoplasm Cytoplasm perinuclear region Note=Perinuclear distribution in response to stress signals such as UV radiation;  Isoform 5: Cytoplasmic vesicle secretory vesicle acrosome Note=Associated with the plasma membrane of the acrosomal compartment and also localizes in the acrosome matrix"	"overlaps 3"	426	"CYTOSOL"	1	"SPAG9"	"-"	64	26	28	8	40	30	6	1	1	1	"-"	99	1	"-"	84	1	16	"-"	99	1	1
"SPG20"	""	"Plasma membrane;Cytoplasm"	NA	"Supportive"	"cytoplasm; lipid particle; midbody; mitochondrial outer membrane; plasma membrane; synapse"	" Cytoplasm "	"overlaps 3"	426	"CYTOSOL"	1	"SPG20"	"-"	36	18	26	8	10	20	14	36	34	1	"-"	100	1	"-"	81	1	19	"-"	96	1	4
"STAM"	""	"Vesicles"	NA	"Supportive"	"cytosol; endosome; membrane"	" Cytoplasm {ECO:0000305} Early endosome membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}"	"overlaps 3"	426	"CYTOSOL"	1	"STAM"	"-"	8	28	24	26	56	30	12	8	6	1	"-"	100	1	"-"	82	1	18	"-"	100	1	1
"STMN1"	"CYTOSOL"	"Cytoplasm"	NA	"Supportive"	"cytosol; extracellular vesicular exosome; intracellular; membrane; microtubule"	" Cytoplasm cytoskeleton"	"overlaps 3"	426	"CYTOSOL"	1	"STMN1"	"-"	90	38	30	12	16	8	1	1	1	1	"-"	99	1	"-"	80	1	20	"-"	100	1	1
"TBCA"	"CYTOSOL"	"Cytoskeleton (Microtubules)"	"Nucleoli"	"Supportive"	"cytoplasm; extracellular vesicular exosome; microtubule; microtubule cytoskeleton; nucleolus"	" Cytoplasm cytoskeleton"	"overlaps 3"	426	"CYTOSOL"	1	"TBCA"	"-"	116	20	20	12	16	6	1	4	4	1	"-"	99	1	"-"	78	1	20	"-"	100	1	1
"TUBB3"	"CYTOSOL"	NA	NA	NA	"cytoplasm; dendrite; extracellular vesicular exosome; microtubule; nucleus"	" Cytoplasm cytoskeleton"	"overlaps 3"	426	"CYTOSOL"	1	"TUBB3"	"-"	108	22	20	14	6	6	1	1	12	12	"-"	100	1	"-"	80	1	20	"-"	100	1	1
"UBR2"	"CYTOSOL"	"Nucleus but not nucleoli;Plasma membrane"	NA	"Supportive"	"chromatin; nucleus; plasma membrane; ubiquitin ligase complex"	" Nucleus {ECO:0000250} Note=Associated with chromatin during meiosis"	"overlaps 3"	426	"CYTOSOL"	1	"UBR2"	"-"	100	28	24	10	8	4	1	8	10	1	"-"	100	1	"-"	82	1	18	"-"	97	3	1
"ZBTB8OS"	""	NA	NA	NA	"extracellular vesicular exosome; tRNA-splicing ligase complex"	NA	"overlaps 3"	426	"CYTOSOL"	1	"ZBTB8OS"	"-"	110	18	20	10	14	12	6	6	4	1	"-"	100	1	"-"	79	1	21	"-"	100	1	1
"ADK"	""	"Nucleus but not nucleoli"	"Cytoplasm"	"Supportive"	"cytosol; nucleus"	" Isoform 1: Nucleus;  Isoform 2: Cytoplasm"	"overlaps 3"	336	"CYTOSOL"	1	"ADK"	"-"	132	14	22	6	6	6	1	6	4	4	"-"	100	1	"-"	76	1	24	"-"	67	33	1
"AHCY"	"CYTOSOL"	"Cytoplasm"	NA	"Supportive"	"cytoplasm; cytosol; extracellular vesicular exosome; neuron projection; nucleus"	" Cytoplasm "	"overlaps 3"	336	"CYTOSOL"	1	"AHCY"	"-"	128	22	22	8	10	6	1	1	1	1	"-"	99	1	"-"	73	1	26	"-"	67	33	1
"GAPDH"	"CYTOSOL"	"Plasma membrane;Cytoplasm"	"Nuclear membrane"	"Supportive"	"cytoplasm; cytosol; extracellular vesicular exosome; GAIT complex; lipid particle; membrane; microtubule cytoskeleton; nucleus; plasma membrane; ribonucleoprotein complex; vesicle"	" Cytoplasm cytosol {ECO:0000269|PubMed:12829261} Nucleus {ECO:0000250} Cytoplasm perinuclear region {ECO:0000269|PubMed:12829261} Membrane {ECO:0000269|PubMed:12829261} Cytoplasm cytoskeleton {ECO:0000250} Note=Translocates to the nucleus following S-nitrosylation and interaction with SIAH1 which contains a nuclear localization signal (By similarity) Postnuclear and Perinuclear regions {ECO:0000250}"	"overlaps 3"	336	"CYTOSOL"	1	"GAPDH"	"-"	96	28	28	10	12	6	1	4	8	6	"-"	100	1	"-"	77	1	23	"-"	67	32	1
"GOT1"	"CYTOSOL"	NA	NA	NA	"axon terminus; cytoplasm; cytosol; extracellular vesicular exosome; lysosome; nucleus"	" Cytoplasm "	"overlaps 3"	336	"CYTOSOL"	1	"GOT1"	"-"	112	24	28	10	16	8	1	1	1	1	"-"	100	1	"-"	76	1	24	"-"	69	31	1
"LDHA"	"CYTOSOL"	"Cytoplasm"	"Plasma membrane;Vesicles"	"Supportive"	"cytosol; extracellular vesicular exosome; membrane; mitochondrion; nucleus; sperm fibrous sheath"	" Cytoplasm"	"overlaps 3"	336	"CYTOSOL"	1	"LDHA"	"-"	108	24	24	12	16	8	4	4	1	1	"-"	99	1	"-"	76	1	23	"-"	66	34	1
"PGD"	"CYTOSOL"	"Cytoplasm;Cytoskeleton (Intermediate filaments)"	NA	"Uncertain"	"cytosol; extracellular vesicular exosome; nucleus"	" Cytoplasm "	"overlaps 3"	336	"CYTOSOL"	1	"PGD"	"-"	96	22	22	10	16	8	4	10	8	4	"-"	99	1	"-"	78	1	22	"-"	68	32	1
"PPA1"	"CYTOSOL"	"Vesicles"	NA	"Uncertain"	"cytoplasm; cytosol; extracellular vesicular exosome"	" Cytoplasm "	"overlaps 3"	336	"CYTOSOL"	1	"PPA1"	"-"	110	24	26	10	14	8	1	1	1	1	"-"	100	1	"-"	73	1	26	"-"	66	34	1
"PSAT1"	"CYTOSOL"	"Cytoplasm"	NA	"Supportive"	"cytosol; extracellular vesicular exosome"	NA	"overlaps 3"	336	"CYTOSOL"	1	"PSAT1"	"-"	100	26	24	10	14	10	4	4	4	4	"-"	100	1	"-"	77	1	23	"-"	69	31	1
"PSMD5"	"CYTOSOL"	"Cytoplasm"	"Nucleus"	"Uncertain"	"cytosol; nucleoplasm; proteasome accessory complex; proteasome complex"	NA	"overlaps 3"	336	"CYTOSOL"	1	"PSMD5"	"-"	118	22	20	8	12	6	1	6	6	1	"-"	100	1	"-"	77	1	22	"-"	66	32	2
"RNH1"	"CYTOSOL"	"Nucleus but not nucleoli;Cytoplasm"	NA	"Supportive"	"angiogenin-PRI complex; cytoplasm; extracellular vesicular exosome"	" Cytoplasm"	"overlaps 3"	336	"CYTOSOL"	1	"RNH1"	"-"	116	22	24	10	12	6	1	4	1	1	"-"	99	1	"-"	78	1	22	"-"	69	31	1
"TSTA3"	"CYTOSOL"	"Cytoplasm"	"Nucleus but not nucleoli"	"Uncertain"	"cytoplasm; extracellular vesicular exosome"	NA	"overlaps 3"	336	"CYTOSOL"	1	"TSTA3"	"-"	112	20	24	10	12	10	4	4	1	1	"-"	100	1	"-"	75	1	25	"-"	67	32	1
"UBE2K"	"CYTOSOL"	NA	NA	NA	"cytoplasm; extracellular vesicular exosome"	" Cytoplasm "	"overlaps 3"	336	"CYTOSOL"	1	"UBE2K"	"-"	114	22	22	8	12	8	1	4	6	1	"-"	100	1	"-"	77	1	23	"-"	67	33	1
"USP5"	"CYTOSOL"	"Nucleus but not nucleoli;Cytoplasm"	NA	"Uncertain"	"lysosome"	NA	"overlaps 3"	336	"CYTOSOL"	1	"USP5"	"-"	102	26	28	12	14	8	1	4	4	1	"-"	99	1	"-"	79	1	21	"-"	66	34	1
"AKR1B1"	"CYTOSOL"	"Nucleus but not nucleoli;Cytoplasm"	NA	"Supportive"	"cytoplasm; cytosol; extracellular space; extracellular vesicular exosome; nucleus"	" Cytoplasm"	"overlaps 3"	105	"CYTOSOL"	1	"AKR1B1"	"-"	114	22	22	10	14	8	1	1	1	1	"-"	100	1	"-"	78	1	22	"-"	75	22	3
"BROX"	""	"Golgi apparatus"	"Nucleus but not nucleoli;Cytoplasm"	"Uncertain"	"extracellular vesicular exosome; membrane"	" Membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}"	"overlaps 3"	105	"CYTOSOL"	1	"BROX"	"-"	58	30	30	16	26	16	6	6	6	8	"-"	100	1	"-"	76	1	24	"-"	75	25	1
"CNDP2"	"CYTOSOL"	"Nucleus but not nucleoli;Cytoplasm"	NA	"Supportive"	"cytosol; extracellular vesicular exosome"	" Cytoplasm "	"overlaps 3"	105	"CYTOSOL"	1	"CNDP2"	"-"	96	32	28	12	14	8	4	1	1	1	"-"	98	2	"-"	74	1	26	"-"	77	22	1
"ESD"	"CYTOSOL"	"Golgi apparatus"	"Cytoplasm"	"Uncertain"	"cytoplasm; cytoplasmic vesicle; extracellular vesicular exosome; Golgi apparatus; nucleus; plasma membrane"	" Cytoplasm Cytoplasmic vesicle"	"overlaps 3"	105	"CYTOSOL"	1	"ESD"	"-"	120	22	24	8	12	8	1	1	4	1	"-"	100	1	"-"	76	1	24	"-"	77	23	1
"IDH1"	"CYTOSOL"	"Nucleus;Cytoplasm"	NA	"Uncertain"	"cytoplasm; cytosol; extracellular vesicular exosome; mitochondrion; peroxisomal matrix; peroxisome"	" Cytoplasm "	"overlaps 3"	105	"CYTOSOL"	1	"IDH1"	"-"	102	26	24	12	12	8	4	4	4	1	"-"	100	1	"-"	75	1	25	"-"	77	22	1
"PEBP1"	"CYTOSOL"	"Plasma membrane;Cytoplasm"	NA	"Supportive"	"cytoplasm; extracellular vesicular exosome; nucleus"	" Cytoplasm "	"overlaps 3"	105	"CYTOSOL"	1	"PEBP1"	"-"	112	24	32	10	14	6	1	1	1	1	"-"	99	1	"-"	76	1	23	"-"	74	25	1
"PITPNB"	""	NA	NA	NA	"endoplasmic reticulum membrane; extracellular vesicular exosome; Golgi membrane"	" Cytoplasm {ECO:0000250} Golgi apparatus {ECO:0000250}"	"overlaps 3"	105	"CYTOSOL"	1	"PITPNB"	"-"	82	20	20	10	18	10	10	20	10	1	"-"	100	1	"-"	74	1	26	"-"	78	21	1
"PRMT5"	""	"Nucleus;Cytoplasm"	NA	"Supportive"	"cytoplasm; cytosol; methylosome; nucleus"	" Cytoplasm Nucleus"	"overlaps 3"	105	"CYTOSOL"	1	"PRMT5"	"-"	120	16	18	8	10	8	4	4	6	4	"-"	99	1	"-"	77	2	22	"-"	76	23	1
"ST13"	"CYTOSOL"	"Cytoplasm"	NA	"Supportive"	"cytoplasm; cytosol; extracellular vesicular exosome; protein complex"	" Cytoplasm "	"overlaps 3"	105	"CYTOSOL"	1	"ST13"	"-"	116	28	22	8	12	8	1	1	1	1	"-"	97	3	"-"	75	1	24	"-"	75	25	1
"TXN"	"CYTOSOL"	"Nucleus;Cytoplasm"	NA	"Supportive"	"cytoplasm; cytosol; extracellular vesicular exosome; mitochondrion; nucleoplasm; nucleus"	" Nucleus Cytoplasm Secreted Note=Secreted by a leaderless secretory pathway Predominantly in the cytoplasm in non irradiated cells Radiation induces translocation of TRX from the cytoplasm to the nucleus"	"overlaps 3"	105	"CYTOSOL"	1	"TXN"	"-"	112	22	22	10	14	8	4	4	4	1	"-"	95	5	"-"	75	2	23	"-"	75	23	1
"UBA6"	"CYTOSOL"	"Nucleus but not nucleoli;Cytoplasm"	NA	"Uncertain"	"cytoplasm; cytosol"	NA	"overlaps 3"	105	"CYTOSOL"	1	"UBA6"	"-"	96	28	26	12	12	10	6	6	4	4	"-"	100	1	"-"	77	1	23	"-"	76	23	1
"ACY1"	"CYTOSOL"	"Nucleus but not nucleoli"	NA	"Uncertain"	"cytosol; extracellular vesicular exosome"	" Cytoplasm"	"overlaps 3"	20	"CYTOSOL"	1	"ACY1"	"-"	102	32	24	10	12	8	6	1	4	1	"-"	100	1	"-"	75	1	25	"-"	88	12	1
"CMPK1"	"CYTOSOL"	NA	NA	NA	"cytoplasm; cytosol; extracellular vesicular exosome; nucleolus; nucleus"	" Nucleus Cytoplasm Note=Predominantly nuclear"	"overlaps 3"	20	"CYTOSOL"	1	"CMPK1"	"-"	106	24	24	10	10	8	6	6	6	1	"-"	99	1	"-"	75	1	24	"-"	87	13	1
"NIT2"	""	"Cytoplasm"	"Centrosome"	"Supportive"	"centrosome; cytoplasm; extracellular vesicular exosome; mitochondrion"	" Cytoplasm "	"overlaps 3"	20	"CYTOSOL"	1	"NIT2"	"-"	78	16	18	8	10	10	20	18	20	1	"-"	100	1	"-"	78	1	22	"-"	87	10	3
"NRD1"	"CYTOSOL"	"Nucleus but not nucleoli"	NA	"Uncertain"	"cell surface; cytosol"	NA	"overlaps 3"	20	"CYTOSOL"	1	"NRD1"	"-"	98	30	22	12	14	10	4	1	4	1	"-"	100	1	"-"	78	1	22	"-"	90	10	1
"PARK7"	"CYTOSOL"	"Nucleus;Cytoplasm"	NA	"Supportive"	"chromatin; cytoplasm; cytosol; extracellular vesicular exosome; mitochondrion; nucleus; plasma membrane; PML body"	" Cell membrane; Lipid-anchor Cytoplasm Nucleus Membrane raft Mitochondrion Note=Under normal conditions located predominantly in the cytoplasm and to a lesser extent in the nucleus and mitochondrion Translocates to the mitochondrion and subsequently to the nucleus in response to oxidative stress and exerts an increased cytoprotective effect against oxidative damage Detected in tau inclusions in brains from neurodegenerative disease patients Membrane raft localization in astrocytes and neuronal cells requires palmitoylation"	"overlaps 3"	20	"CYTOSOL"	1	"PARK7"	"-"	102	26	26	10	12	6	4	6	6	1	"-"	99	1	"-"	76	1	24	"-"	86	13	1
"PPCS"	"CYTOSOL"	"Nucleoli"	"Nucleus;Mitochondria"	"Uncertain"	"cytosol; extracellular vesicular exosome"	NA	"overlaps 3"	20	"CYTOSOL"	1	"PPCS"	"-"	94	24	28	10	16	10	4	6	8	1	"-"	100	1	"-"	76	1	24	"-"	92	8	1
"SMYD5"	"CYTOSOL"	"Mitochondria"	NA	"Uncertain"	NA	NA	"overlaps 3"	20	"CYTOSOL"	1	"SMYD5"	"-"	116	22	26	12	14	6	1	1	1	1	"-"	99	1	"-"	75	1	25	"-"	89	11	1
"SOD1"	""	"Nucleus;Cytoplasm"	"Plasma membrane"	"Supportive"	"cytoplasm; cytoplasmic vesicle; cytosol; dendrite cytoplasm; extracellular matrix; extracellular region; extracellular space; extracellular vesicular exosome; mitochondrial intermembrane space; mitochondrial matrix; mitochondrion; neuronal cell body; nucleus; peroxisome; protein complex"	" Cytoplasm Nucleus Note=Predominantly cytoplasmic; the pathogenic variants ALS1 Arg-86 and Ala-94 gradually aggregates and accumulates in mitochondria"	"overlaps 3"	20	"CYTOSOL"	1	"SOD1"	"-"	54	26	28	20	32	18	6	8	6	1	"-"	98	2	"-"	79	1	21	"-"	88	12	1
"SUGT1"	"CYTOSOL"	NA	NA	NA	"cytoplasm; cytosol; kinetochore; nucleus; ubiquitin ligase complex"	" Cytoplasm {ECO:0000269|PubMed:21864708} Nucleus {ECO:0000269|PubMed:21864708} Note=Translocates to the nucleus upon heat shock requiring S100A6"	"overlaps 3"	20	"CYTOSOL"	1	"SUGT1"	"-"	104	26	20	10	12	10	6	4	4	4	"-"	98	2	"-"	75	1	24	"-"	88	11	1
"UBE3A"	""	"Nucleus but not nucleoli"	"Cytoplasm"	"Uncertain"	"cytoplasm; cytosol; nucleus; proteasome complex"	" Nucleus {ECO:0000305}"	"overlaps 3"	20	"CYTOSOL"	1	"UBE3A"	"-"	126	18	20	4	6	4	6	6	6	4	"-"	100	1	"-"	75	1	25	"-"	90	9	1
"ACO1"	"CYTOSOL"	"Cytoplasm;Mitochondria"	NA	"Supportive"	"cytoplasm; cytosol; endoplasmic reticulum; extracellular vesicular exosome; Golgi apparatus; mitochondrion"	" Cytoplasm"	"overlaps 3"	115	"CYTOSOL"	1	"ACO1"	"-"	78	32	26	10	10	8	4	6	8	16	"-"	100	1	"-"	85	1	14	"-"	67	31	3
